sodium;1.5329584250028774
peripheral_vascular;0.6981773374358216
hr;0.603847694998083
potassium;0.47323113330874667
solid_cancer;0.4359943521534312
liver_disease;0.4166381562190985
hypertension;0.2508041927289464
rheumatoid_arthritis;0.07530871911880445
age;-0.1319922685680439
bun;-0.28927233059047797
bp;-0.42735316881538143
deficiency_anemias;-0.46410380088914865
hypothyroidism;-0.4957863606358447
creatinine;-0.6998748423467555
chronic_pulmonary_disease;-0.7462062061809408
chloride;-1.6565902203184406
bicarbonate;-2.087882744999405
