glucose;0.11552018856129159
ast;0.10863955560703564
bilirubin;0.0900911014806826
hr;0.08105492017456296
creatinine;0.07993355865918007
sodium;0.047597236602430926
liver_disease;0.00869186636217314
metastatic_cancer;0.0034862857203717314
deficiency_anemias;-0.0022381247593231297
peripheral_vascular;-0.004264105285515779
chronic_pulmonary_disease;-0.006373564271964724
gender;-0.007152580869010743
age;-0.05243208416379508
calcium;-0.05631535539282738
chloride;-0.0603813562154982
bun;-0.07701112020632297
bicarbonate;-0.1988169956680133
