glucose;0.09580357714407053
ast;0.0843302098527453
hr;0.07334986215099888
wbc;0.0718198446028962
creatinine;0.07174113301716495
bilirubin;0.06630141731265327
bun;0.0587407084904427
liver_disease;0.01855756676207736
hypertension;0.0093247247723281
deficiency_anemias;0.008747712603101197
diabetes;0.008351850692366531
peripheral_vascular;0.00422929124538998
metastatic_cancer;0.003498315808418901
solid_cancer;0.002907394071163617
obesity;-0.004962805385930834
renal_failure;-0.01251968853048148
chronic_pulmonary_disease;-0.012538864329373466
sodium;-0.043494574157411446
chloride;-0.046420322846919285
calcium;-0.05107032884116311
platelets;-0.08422004839606399
bicarbonate;-0.16706975898683904
